scenario,flu_season,hosp_baseline,hosp_with_vaccine,hosp_avoided,deaths_avoided,vaccination_costs,costs_saved,net_cost,cost_per_hosp_avoided,cost_per_death_avoided
high,2026-2027,67658.42067222796,58625.58779569706,9032.832876530905,644.0409840966535,104284937.33183551,104771828.53488196,-486891.2030464539,-53.902381423605654,-755.9941293633333
high,2027-2028,66987.96807116973,52569.43427101496,14418.533800154766,1028.0414599510348,166527749.2107728,167240573.54799512,-712824.3372223093,-49.4380598681024,-693.3809238163029
high,2028-2029,88313.14198700593,62330.833962849974,25982.308024155962,1852.5385621223202,229577801.95659664,301368790.77218497,-71790988.81558834,-2763.0720392062044,-38752.76352322867
high,2029-2030,84703.19912636121,55590.87810120092,29112.321025160298,2075.7084890939295,265747346.5524491,337673811.5708343,-71926465.01838519,-2470.6537467838034,-34651.52520033385
high,2030-2031,78926.45844885008,51349.51603330003,27576.942415550042,1966.235994228718,273913617.58362365,319864955.07796496,-45951337.4943413,-1666.2955886084867,-23370.204608814678
low,2026-2027,67658.42067222796,63594.556237981946,4063.864434246023,289.75353416174136,79760109.72345263,47136763.57281962,32623346.15063301,8027.665951579826,112589.98529564976
low,2027-2028,66987.96807116973,61827.46205995191,5160.506011217808,367.9440785998296,101322692.49227113,59856709.22411536,41465983.26815577,8035.255298224209,112696.4277450801
low,2028-2029,88313.14198700593,80254.18376948834,8058.958217517591,574.6037209090042,121054236.22335528,93475856.36498654,27578379.858368743,3422.0775333494335,47995.47732607901
low,2029-2030,84703.19912636121,75922.96269210707,8780.23643425415,626.0308577623209,136253365.20685932,101841962.40091388,34411402.805945456,3919.1886304675104,54967.58247500014
low,2030-2031,78926.45844885008,70274.13317950918,8652.32526934089,616.9107917040055,146099681.93167984,100358320.79908499,45741361.13259484,5286.597499365542,74145.82748058262
mid,2026-2027,67658.42067222796,60979.56179677995,6678.858875448014,476.20263781944345,93631237.20440175,77468084.09632151,16163153.108080229,2420.0471082713234,33941.754674212105
mid,2027-2028,66987.96807116973,57433.887221098674,9554.080850071052,681.205964610066,133990901.82155013,110817783.77997412,23173118.041576006,2425.4680701601633,34017.784995233706
mid,2028-2029,88313.14198700593,72562.47502902072,15750.666957985224,1123.0225541043465,168994278.26990095,182691986.0456706,-13697707.775769658,-869.6589047503945,-12197.179589767104
mid,2029-2030,84703.19912636121,67719.62535318107,16983.573773180156,1210.9288100277452,188253072.4511934,196992472.1951166,-8739399.743923217,-514.579549666052,-7217.104483394839
mid,2030-2031,78926.45844885008,62804.242875928816,16122.215572921259,1149.5139703492857,194452316.4016797,187001578.43031368,7450737.971366027,462.14107097539534,6481.64194916403
